Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
May-2021,728.40,792.00,715.00,769.65,13649660,248135,10376752545.00,2622885,19.22,77.00,41.25
June-2021,775.00,901.00,638.00,703.60,39395712,950505,29339440625.00,6857221,17.41,263.00,-71.40
July-2021,708.40,736.80,654.45,674.65,11549641,268095,8066392128.00,3069690,26.58,82.35,-33.75
August-2021,683.00,754.00,665.00,747.70,11151163,187048,7872829554.00,4209860,37.75,89.00,64.70
September-2021,751.60,786.00,733.10,737.65,4738428,103003,3567912504.00,1818006,38.37,52.90,-13.95
October-2021,739.95,829.80,681.50,693.15,7467370,163268,5685999153.00,3040235,40.71,148.30,-46.80
November-2021,700.05,774.00,680.00,684.25,4607427,128627,3362081203.00,1246544,27.06,94.00,-15.80
December-2021,698.00,794.75,683.00,730.35,4594525,125894,3382171128.00,1237561,26.94,111.75,32.35
January-2022,729.90,795.00,689.15,716.15,3521363,107386,2607758556.00,888549,25.23,105.85,-13.75
February-2022,726.05,750.80,652.05,707.65,3746445,132000,2666645319.00,988805,26.39,98.75,-18.40
March-2022,705.00,781.05,664.00,774.10,5333383,125250,3875394854.00,1283638,24.07,117.05,69.10
April-2022,774.10,924.65,774.10,856.35,10482605,270531,9032089240.00,2831805,27.01,150.55,82.25
May-2022,856.70,865.00,668.30,739.30,6475414,170211,4957659295.00,1839952,28.41,196.70,-117.40
June-2022,743.90,762.00,653.20,671.45,2609615,91134,1828365404.00,634104,24.30,108.80,-72.45
July-2022,672.70,775.50,656.05,763.80,3230027,85470,2359608367.00,1598212,49.48,119.45,91.10
August-2022,770.00,891.95,765.05,842.35,7905958,173111,6547855858.00,3276203,41.44,126.90,72.35
September-2022,842.35,987.90,801.00,821.05,9045539,251080,8224862504.00,2438004,26.95,186.90,-21.30
October-2022,823.80,835.00,771.60,823.05,6983931,132759,5615794349.00,3336227,47.77,63.40,-0.75
November-2022,829.00,916.00,823.55,881.25,8739180,161020,7655815990.00,3963837,45.36,92.45,52.25
December-2022,882.25,912.05,785.10,817.90,3819022,122496,3294204052.00,1183841,31.00,126.95,-64.35
January-2023,821.70,826.50,536.85,612.80,9799760,256791,6423893451.00,2123556,21.67,289.65,-208.90
February-2023,630.00,630.00,394.95,592.60,40231537,1034311,21400959758.00,10775065,26.78,235.05,-37.40
March-2023,597.00,722.80,571.35,631.80,25928070,541701,17078851395.00,5076080,19.58,151.45,34.80
April-2023,640.80,683.00,622.15,681.20,5824233,141807,3842950579.00,1708638,29.34,60.85,40.40
May-2023,681.20,785.95,657.00,737.25,12260901,302265,8849109150.00,3345780,27.29,128.95,56.05
June-2023,732.70,760.00,702.85,738.90,6221532,180249,4589436412.00,2314342,37.20,57.15,6.20
July-2023,745.95,780.00,708.00,778.10,5407621,172903,4003158876.00,2094805,38.74,72.00,32.15
August-2023,776.00,869.55,751.50,791.40,10237396,273227,8242344072.00,3458256,33.78,118.05,15.40
September-2023,780.00,889.00,779.30,824.25,5095607,139029,4285275978.00,2152252,42.24,109.70,44.25
October-2023,825.75,845.65,754.50,784.65,3520669,103284,2819320963.00,1754655,49.84,91.15,-41.10
November-2023,784.00,854.00,767.55,825.50,4546749,120972,3720877839.00,2392543,52.62,86.45,41.50
December-2023,834.00,1101.90,825.25,1024.15,14613302,377818,14815761422.00,4386809,30.02,276.65,190.15
January-2024,1026.00,1229.90,1022.65,1207.60,9972126,339836,11469002382.00,3286172,32.95,207.25,181.60
February-2024,1214.95,1343.00,1200.70,1321.65,4798259,200634,6136009551.00,1840964,38.37,142.30,106.70
March-2024,1338.65,1358.85,1188.60,1341.70,2762580,143608,3578864009.00,968352,35.05,170.25,3.05
April-2024,1358.00,1425.00,1270.00,1324.85,3246559,121843,4373673478.00,1561526,48.10,155.00,-33.15
May-2024,1335.25,1457.25,1239.70,1437.70,4267335,210513,5832208513.00,1358670,31.84,217.55,102.45
June-2024,1575.00,1607.95,1160.25,1477.40,13793670,541529,19439384724.00,5421220,39.30,447.70,-97.60
July-2024,1484.40,1577.00,1419.60,1569.65,3231707,162741,4838822426.00,1389135,42.98,157.40,85.25
August-2024,1581.00,1604.15,1451.45,1482.65,3065357,176099,4639868633.00,949109,30.96,152.70,-98.35
September-2024,1485.35,1499.35,1394.95,1448.15,2689028,129822,3905084657.00,1410754,52.46,104.40,-37.20
October-2024,1446.10,1472.85,1303.40,1376.70,2096102,138195,2897316784.00,772600,36.86,169.45,-69.40
November-2024,1389.00,1397.00,993.85,1189.65,7743051,284828,9033896081.00,2564660,33.12,403.15,-199.35
December-2024,1213.45,1310.00,1174.05,1228.90,4003079,165079,4984511166.00,970785,24.25,135.95,15.45
January-2025,1227.30,1236.00,1011.00,1099.60,3595786,172831,4027509715.00,976552,27.16,225.00,-127.70
February-2025,1110.90,1175.00,1039.05,1070.15,3164898,134689,3490569730.00,1121275,35.43,135.95,-40.75
March-2025,1072.05,1168.00,1036.35,1137.25,1007365,52382,1119306858.00,313154,31.09,131.65,65.20
